Comunidad autónoma;Sexo;Distintos grupos de edad;Tipo de tasa;Periodo;Total
Asturias (Principado de);mujeres;de 25 y más años;tasas de paro;1997TII;23,35
Asturias (Principado de);mujeres;de 25 y más años;tasas de paro;1997TI;24,38
Asturias (Principado de);mujeres;de 25 y más años;tasas de paro;1996TIV;23,09
Asturias (Principado de);mujeres;de 25 y más años;tasas de paro;1996TIII;24,86
Asturias (Principado de);mujeres;de 25 y más años;tasas de paro;1996TII;24,44
Asturias (Principado de);mujeres;de 25 y más años;tasas de paro;1996TI;19,77
Asturias (Principado de);mujeres;de 25 y más años;tasas de empleo;2001TIV;28,99
Asturias (Principado de);mujeres;de 25 y más años;tasas de empleo;2001TIII;29,51
Asturias (Principado de);mujeres;de 25 y más años;tasas de empleo;2001TII;28,17
Asturias (Principado de);mujeres;de 25 y más años;tasas de empleo;2001TI;27,37
Asturias (Principado de);mujeres;de 25 y más años;tasas de empleo;2000TIV;26,80
Asturias (Principado de);mujeres;de 25 y más años;tasas de empleo;2000TIII;26,72
Asturias (Principado de);mujeres;de 25 y más años;tasas de empleo;2000TII;26,17
Asturias (Principado de);mujeres;de 25 y más años;tasas de empleo;2000TI;26,28
Asturias (Principado de);mujeres;de 25 y más años;tasas de empleo;1999TIV;26,41
Asturias (Principado de);mujeres;de 25 y más años;tasas de empleo;1999TIII;27,85
Asturias (Principado de);mujeres;de 25 y más años;tasas de empleo;1999TII;26,67
Asturias (Principado de);mujeres;de 25 y más años;tasas de empleo;1999TI;24,93
Asturias (Principado de);mujeres;de 25 y más años;tasas de empleo;1998TIV;25,34
Asturias (Principado de);mujeres;de 25 y más años;tasas de empleo;1998TIII;25,71
Asturias (Principado de);mujeres;de 25 y más años;tasas de empleo;1998TII;24,22
Asturias (Principado de);mujeres;de 25 y más años;tasas de empleo;1998TI;24,21
Asturias (Principado de);mujeres;de 25 y más años;tasas de empleo;1997TIV;24,84
Asturias (Principado de);mujeres;de 25 y más años;tasas de empleo;1997TIII;24,48
Asturias (Principado de);mujeres;de 25 y más años;tasas de empleo;1997TII;24,71
Asturias (Principado de);mujeres;de 25 y más años;tasas de empleo;1997TI;24,39
Asturias (Principado de);mujeres;de 25 y más años;tasas de empleo;1996TIV;25,12
Asturias (Principado de);mujeres;de 25 y más años;tasas de empleo;1996TIII;25,00
Asturias (Principado de);mujeres;de 25 y más años;tasas de empleo;1996TII;24,09
Asturias (Principado de);mujeres;de 25 y más años;tasas de empleo;1996TI;26,39
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de actividad;2001TIV;11,09
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de actividad;2001TIII;12,50
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de actividad;2001TII;9,78
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de actividad;2001TI;9,36
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de actividad;2000TIV;12,17
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de actividad;2000TIII;13,83
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de actividad;2000TII;11,34
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de actividad;2000TI;9,91
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de actividad;1999TIV;11,44
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de actividad;1999TIII;10,64
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de actividad;1999TII;13,62
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de actividad;1999TI;17,03
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de actividad;1998TIV;16,20
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de actividad;1998TIII;13,34
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de actividad;1998TII;10,14
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de actividad;1998TI;11,29
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de actividad;1997TIV;10,24
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de actividad;1997TIII;8,76
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de actividad;1997TII;11,08
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de actividad;1997TI;11,08
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de actividad;1996TIV;13,26
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de actividad;1996TIII;12,60
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de actividad;1996TII;13,83
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de actividad;1996TI;14,14
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de paro;2001TIV;44,47
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de paro;2001TIII;36,45
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de paro;2001TII;44,88
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de paro;2001TI;25,60
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de paro;2000TIV;55,63
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de paro;2000TIII;46,81
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de paro;2000TII;44,41
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de paro;2000TI;52,35
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de paro;1999TIV;49,87
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de paro;1999TIII;40,42
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de paro;1999TII;51,27
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de paro;1999TI;46,71
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de paro;1998TIV;44,38
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de paro;1998TIII;48,55
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de paro;1998TII;86,10
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de paro;1998TI;57,63
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de paro;1997TIV;57,35
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de paro;1997TIII;66,05
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de paro;1997TII;59,45
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de paro;1997TI;60,21
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de paro;1996TIV;49,77
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de paro;1996TIII;49,54
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de paro;1996TII;45,87
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de paro;1996TI;49,67
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de empleo;2001TIV;6,16
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de empleo;2001TIII;7,94
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de empleo;2001TII;5,39
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de empleo;2001TI;6,96
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de empleo;2000TIV;5,40
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de empleo;2000TIII;7,36
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de empleo;2000TII;6,31
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de empleo;2000TI;4,72
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de empleo;1999TIV;5,73
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de empleo;1999TIII;6,34
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de empleo;1999TII;6,64
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de empleo;1999TI;9,08
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de empleo;1998TIV;9,01
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de empleo;1998TIII;6,86
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de empleo;1998TII;1,41
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de empleo;1998TI;4,79
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de empleo;1997TIV;4,37
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de empleo;1997TIII;2,97
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de empleo;1997TII;4,49
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de empleo;1997TI;4,41
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de empleo;1996TIV;6,66
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de empleo;1996TIII;6,36
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de empleo;1996TII;7,49
Asturias (Principado de);mujeres;de 16 a 19 años;tasas de empleo;1996TI;7,11
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de actividad;2001TIV;27,78
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de actividad;2001TIII;35,74
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de actividad;2001TII;28,00
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de actividad;2001TI;30,65
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de actividad;2000TIV;42,09
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de actividad;2000TIII;47,68
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de actividad;2000TII;52,47
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de actividad;2000TI;56,93
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de actividad;1999TIV;51,49
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de actividad;1999TIII;48,27
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de actividad;1999TII;43,53
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de actividad;1999TI;39,30
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de actividad;1998TIV;38,09
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de actividad;1998TIII;44,87
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de actividad;1998TII;42,83
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de actividad;1998TI;42,03
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de actividad;1997TIV;44,96
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de actividad;1997TIII;43,11
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de actividad;1997TII;41,54
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de actividad;1997TI;44,64
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de actividad;1996TIV;43,98
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de actividad;1996TIII;47,60
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de actividad;1996TII;48,62
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de actividad;1996TI;47,37
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de paro;2001TIV;22,45
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de paro;2001TIII;25,66
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de paro;2001TII;22,87
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de paro;2001TI;38,88
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de paro;2000TIV;52,46
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de paro;2000TIII;42,78
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de paro;2000TII;43,28
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de paro;2000TI;56,35
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de paro;1999TIV;52,83
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de paro;1999TIII;57,21
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de paro;1999TII;57,88
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de paro;1999TI;58,64
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de paro;1998TIV;49,33
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de paro;1998TIII;50,45
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de paro;1998TII;58,67
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de paro;1998TI;53,74
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de paro;1997TIV;55,26
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de paro;1997TIII;47,36
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de paro;1997TII;52,42
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de paro;1997TI;54,88
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de paro;1996TIV;55,95
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de paro;1996TIII;49,54
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de paro;1996TII;57,57
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de paro;1996TI;49,32
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de empleo;2001TIV;21,54
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de empleo;2001TIII;26,57
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de empleo;2001TII;21,60
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de empleo;2001TI;18,74
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de empleo;2000TIV;20,01
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de empleo;2000TIII;27,29
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de empleo;2000TII;29,76
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de empleo;2000TI;24,85
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de empleo;1999TIV;24,29
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de empleo;1999TIII;20,65
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de empleo;1999TII;18,33
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de empleo;1999TI;16,25
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de empleo;1998TIV;19,30
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de empleo;1998TIII;22,23
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de empleo;1998TII;17,70
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de empleo;1998TI;19,44
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de empleo;1997TIV;20,11
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de empleo;1997TIII;22,69
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de empleo;1997TII;19,76
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de empleo;1997TI;20,14
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de empleo;1996TIV;19,37
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de empleo;1996TIII;24,02
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de empleo;1996TII;20,63
Asturias (Principado de);mujeres;de 20 a 24 años;tasas de empleo;1996TI;24,01
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de actividad;2001TIV;52,69
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de actividad;2001TIII;53,29
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de actividad;2001TII;52,04
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de actividad;2001TI;50,86
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de actividad;2000TIV;56,48
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de actividad;2000TIII;56,02
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de actividad;2000TII;56,22
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de actividad;2000TI;55,92
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de actividad;1999TIV;55,67
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de actividad;1999TIII;57,20
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de actividad;1999TII;55,88
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de actividad;1999TI;54,24
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de actividad;1998TIV;54,02
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de actividad;1998TIII;53,50
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de actividad;1998TII;52,46
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de actividad;1998TI;52,20
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de actividad;1997TIV;52,36
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de actividad;1997TIII;52,94
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de actividad;1997TII;53,66
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de actividad;1997TI;53,50
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de actividad;1996TIV;54,16
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de actividad;1996TIII;54,71
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de actividad;1996TII;52,43
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de actividad;1996TI;53,72
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de paro;2001TIV;11,13
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de paro;2001TIII;10,20
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de paro;2001TII;12,46
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de paro;2001TI;13,31
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de paro;2000TIV;23,13
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de paro;2000TIII;22,04
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de paro;2000TII;25,11
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de paro;2000TI;24,35
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de paro;1999TIV;24,87
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de paro;1999TIII;21,60
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de paro;1999TII;23,20
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de paro;1999TI;26,10
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de paro;1998TIV;23,56
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de paro;1998TIII;21,96
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de paro;1998TII;24,78
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de paro;1998TI;24,49
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de paro;1997TIV;22,52
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de paro;1997TIII;24,48
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de paro;1997TII;24,17
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de paro;1997TI;25,61
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de paro;1996TIV;24,46
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de paro;1996TIII;26,55
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de paro;1996TII;26,29
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de paro;1996TI;21,53
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de empleo;2001TIV;46,82
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de empleo;2001TIII;47,85
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de empleo;2001TII;45,55
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de empleo;2001TI;44,09
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de empleo;2000TIV;43,42
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de empleo;2000TIII;43,68
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de empleo;2000TII;42,10
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de empleo;2000TI;42,31
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de empleo;1999TIV;41,83
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de empleo;1999TIII;44,84
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de empleo;1999TII;42,92
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de empleo;1999TI;40,08
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de empleo;1998TIV;41,29
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de empleo;1998TIII;41,75
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de empleo;1998TII;39,46
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de empleo;1998TI;39,42
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de empleo;1997TIV;40,57
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de empleo;1997TIII;39,98
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de empleo;1997TII;40,69
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de empleo;1997TI;39,80
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de empleo;1996TIV;40,92
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de empleo;1996TIII;40,19
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de empleo;1996TII;38,65
Asturias (Principado de);mujeres;de 25 a 54 años;tasas de empleo;1996TI;42,15
Asturias (Principado de);mujeres;de 55 y más años;tasas de actividad;2001TIV;7,10
Asturias (Principado de);mujeres;de 55 y más años;tasas de actividad;2001TIII;6,87
Asturias (Principado de);mujeres;de 55 y más años;tasas de actividad;2001TII;6,67
Asturias (Principado de);mujeres;de 55 y más años;tasas de actividad;2001TI;6,67
Asturias (Principado de);mujeres;de 55 y más años;tasas de actividad;2000TIV;6,52
Asturias (Principado de);mujeres;de 55 y más años;tasas de actividad;2000TIII;5,98
Asturias (Principado de);mujeres;de 55 y más años;tasas de actividad;2000TII;6,65
Asturias (Principado de);mujeres;de 55 y más años;tasas de actividad;2000TI;6,84
Asturias (Principado de);mujeres;de 55 y más años;tasas de actividad;1999TIV;7,48
Asturias (Principado de);mujeres;de 55 y más años;tasas de actividad;1999TIII;7,12
Asturias (Principado de);mujeres;de 55 y más años;tasas de actividad;1999TII;6,70
Asturias (Principado de);mujeres;de 55 y más años;tasas de actividad;1999TI;6,41
Asturias (Principado de);mujeres;de 55 y más años;tasas de actividad;1998TIV;6,14
Asturias (Principado de);mujeres;de 55 y más años;tasas de actividad;1998TIII;6,59
Asturias (Principado de);mujeres;de 55 y más años;tasas de actividad;1998TII;6,12
Asturias (Principado de);mujeres;de 55 y más años;tasas de actividad;1998TI;6,29
Asturias (Principado de);mujeres;de 55 y más años;tasas de actividad;1997TIV;6,29
Asturias (Principado de);mujeres;de 55 y más años;tasas de actividad;1997TIII;6,33
Asturias (Principado de);mujeres;de 55 y más años;tasas de actividad;1997TII;5,78
Asturias (Principado de);mujeres;de 55 y más años;tasas de actividad;1997TI;6,05
Asturias (Principado de);mujeres;de 55 y más años;tasas de actividad;1996TIV;6,14
Asturias (Principado de);mujeres;de 55 y más años;tasas de actividad;1996TIII;6,82
Asturias (Principado de);mujeres;de 55 y más años;tasas de actividad;1996TII;6,52
Asturias (Principado de);mujeres;de 55 y más años;tasas de actividad;1996TI;7,17
Asturias (Principado de);mujeres;de 55 y más años;tasas de paro;2001TIV;1,44
Asturias (Principado de);mujeres;de 55 y más años;tasas de paro;2001TIII;0,00
Asturias (Principado de);mujeres;de 55 y más años;tasas de paro;2001TII;0,00
Asturias (Principado de);mujeres;de 55 y más años;tasas de paro;2001TI;0,00
Asturias (Principado de);mujeres;de 55 y más años;tasas de paro;2000TIV;4,59
Asturias (Principado de);mujeres;de 55 y más años;tasas de paro;2000TIII;4,52
Asturias (Principado de);mujeres;de 55 y más años;tasas de paro;2000TII;3,49
Asturias (Principado de);mujeres;de 55 y más años;tasas de paro;2000TI;6,15
Asturias (Principado de);mujeres;de 55 y más años;tasas de paro;1999TIV;2,51
Asturias (Principado de);mujeres;de 55 y más años;tasas de paro;1999TIII;4,77
Asturias (Principado de);mujeres;de 55 y más años;tasas de paro;1999TII;2,53
Asturias (Principado de);mujeres;de 55 y más años;tasas de paro;1999TI;4,39
Asturias (Principado de);mujeres;de 55 y más años;tasas de paro;1998TIV;9,80
Asturias (Principado de);mujeres;de 55 y más años;tasas de paro;1998TIII;11,64
Asturias (Principado de);mujeres;de 55 y más años;tasas de paro;1998TII;12,86
Asturias (Principado de);mujeres;de 55 y más años;tasas de paro;1998TI;14,66
Asturias (Principado de);mujeres;de 55 y más años;tasas de paro;1997TIV;14,51
Asturias (Principado de);mujeres;de 55 y más años;tasas de paro;1997TIII;16,03
Asturias (Principado de);mujeres;de 55 y más años;tasas de paro;1997TII;13,94
Asturias (Principado de);mujeres;de 55 y más años;tasas de paro;1997TI;10,94
Asturias (Principado de);mujeres;de 55 y más años;tasas de paro;1996TIV;8,27
Asturias (Principado de);mujeres;de 55 y más años;tasas de paro;1996TIII;8,12
Asturias (Principado de);mujeres;de 55 y más años;tasas de paro;1996TII;6,09
Asturias (Principado de);mujeres;de 55 y más años;tasas de paro;1996TI;3,45
Asturias (Principado de);mujeres;de 55 y más años;tasas de empleo;2001TIV;7,00
Asturias (Principado de);mujeres;de 55 y más años;tasas de empleo;2001TIII;6,87
Asturias (Principado de);mujeres;de 55 y más años;tasas de empleo;2001TII;6,67
Asturias (Principado de);mujeres;de 55 y más años;tasas de empleo;2001TI;6,67
Asturias (Principado de);mujeres;de 55 y más años;tasas de empleo;2000TIV;6,22
Asturias (Principado de);mujeres;de 55 y más años;tasas de empleo;2000TIII;5,71
Asturias (Principado de);mujeres;de 55 y más años;tasas de empleo;2000TII;6,42
Asturias (Principado de);mujeres;de 55 y más años;tasas de empleo;2000TI;6,42
Asturias (Principado de);mujeres;de 55 y más años;tasas de empleo;1999TIV;7,29
Asturias (Principado de);mujeres;de 55 y más años;tasas de empleo;1999TIII;6,78
Asturias (Principado de);mujeres;de 55 y más años;tasas de empleo;1999TII;6,53
Asturias (Principado de);mujeres;de 55 y más años;tasas de empleo;1999TI;6,13
Asturias (Principado de);mujeres;de 55 y más años;tasas de empleo;1998TIV;5,54
Asturias (Principado de);mujeres;de 55 y más años;tasas de empleo;1998TIII;5,82
Asturias (Principado de);mujeres;de 55 y más años;tasas de empleo;1998TII;5,33
Asturias (Principado de);mujeres;de 55 y más años;tasas de empleo;1998TI;5,37
Asturias (Principado de);mujeres;de 55 y más años;tasas de empleo;1997TIV;5,37
Asturias (Principado de);mujeres;de 55 y más años;tasas de empleo;1997TIII;5,31
Asturias (Principado de);mujeres;de 55 y más años;tasas de empleo;1997TII;4,97
Asturias (Principado de);mujeres;de 55 y más años;tasas de empleo;1997TI;5,39
Asturias (Principado de);mujeres;de 55 y más años;tasas de empleo;1996TIV;5,63
Asturias (Principado de);mujeres;de 55 y más años;tasas de empleo;1996TIII;6,27
Asturias (Principado de);mujeres;de 55 y más años;tasas de empleo;1996TII;6,13
Asturias (Principado de);mujeres;de 55 y más años;tasas de empleo;1996TI;6,93
Balears (Illes);ambos sexos;total;tasas de actividad;2001TIV;57,71
Balears (Illes);ambos sexos;total;tasas de actividad;2001TIII;60,88
Balears (Illes);ambos sexos;total;tasas de actividad;2001TII;60,32
Balears (Illes);ambos sexos;total;tasas de actividad;2001TI;56,37
Balears (Illes);ambos sexos;total;tasas de actividad;2000TIV;58,86
Balears (Illes);ambos sexos;total;tasas de actividad;2000TIII;60,03
Balears (Illes);ambos sexos;total;tasas de actividad;2000TII;59,29
Balears (Illes);ambos sexos;total;tasas de actividad;2000TI;58,21
Balears (Illes);ambos sexos;total;tasas de actividad;1999TIV;57,55
Balears (Illes);ambos sexos;total;tasas de actividad;1999TIII;58,14
Balears (Illes);ambos sexos;total;tasas de actividad;1999TII;56,58
Balears (Illes);ambos sexos;total;tasas de actividad;1999TI;55,44
Balears (Illes);ambos sexos;total;tasas de actividad;1998TIV;55,72
Balears (Illes);ambos sexos;total;tasas de actividad;1998TIII;57,14
Balears (Illes);ambos sexos;total;tasas de actividad;1998TII;56,77
Balears (Illes);ambos sexos;total;tasas de actividad;1998TI;56,53
Balears (Illes);ambos sexos;total;tasas de actividad;1997TIV;55,64
Balears (Illes);ambos sexos;total;tasas de actividad;1997TIII;57,72
Balears (Illes);ambos sexos;total;tasas de actividad;1997TII;56,76
Balears (Illes);ambos sexos;total;tasas de actividad;1997TI;56,18
Balears (Illes);ambos sexos;total;tasas de actividad;1996TIV;56,39
